------------Emission------------

------------P(Et | Xt)------------
P( j | m ) =  0.0652661064426
P( k | m ) =  0.0663865546218
P( l | m ) =  0.000280112044818
P( m | m ) =  0.8
P( n | m ) =  0.0619047619048
P( o | m ) =  0.000280112044818
P( p | m ) =  0.000280112044818
P( q | m ) =  0.000280112044818
P( r | m ) =  0.000280112044818
P( s | m ) =  0.000280112044818
P( t | m ) =  0.000280112044818
P( u | m ) =  0.000280112044818
P( v | m ) =  0.000280112044818
P( w | m ) =  0.000280112044818
P( x | m ) =  0.000280112044818
P( y | m ) =  0.000280112044818
P( z | m ) =  0.000280112044818
P( _ | m ) =  0.000280112044818
P( a | n ) =  0.000108920596885
P( b | n ) =  0.0521729659079
P( c | n ) =  0.000108920596885
P( d | n ) =  0.000108920596885
P( e | n ) =  0.000108920596885
P( f | n ) =  0.000108920596885
P( g | n ) =  0.000108920596885
P( h | n ) =  0.0524997276985
P( i | n ) =  0.000108920596885
P( j | n ) =  0.0504302363577
P( k | n ) =  0.000108920596885
P( l | n ) =  0.000108920596885
P( m | n ) =  0.0483607450169
P( n | n ) =  0.794140071888
P( o | n ) =  0.000108920596885
P( p | n ) =  0.000108920596885
P( q | n ) =  0.000108920596885
P( r | n ) =  0.000108920596885
P( s | n ) =  0.000108920596885
P( t | n ) =  0.000108920596885
P( u | n ) =  0.000108920596885
P( v | n ) =  0.000108920596885
P( w | n ) =  0.000108920596885
P( x | n ) =  0.000108920596885
P( y | n ) =  0.000108920596885
P( z | n ) =  0.000108920596885
P( _ | n ) =  0.000108920596885
P( a | o ) =  8.90313390313e-05
P( b | o ) =  8.90313390313e-05
P( c | o ) =  8.90313390313e-05
P( d | o ) =  8.90313390313e-05
P( e | o ) =  8.90313390313e-05
P( f | o ) =  8.90313390313e-05
P( g | o ) =  8.90313390313e-05
P( h | o ) =  8.90313390313e-05
P( i | o ) =  0.048344017094
P( j | o ) =  8.90313390313e-05
P( k | o ) =  0.0524394586895
P( l | o ) =  0.0517272079772
P( m | o ) =  8.90313390313e-05
P( n | o ) =  8.90313390313e-05
P( o | o ) =  0.793625356125
P( p | o ) =  0.0519052706553
P( q | o ) =  8.90313390313e-05
P( r | o ) =  8.90313390313e-05
P( s | o ) =  8.90313390313e-05
P( t | o ) =  8.90313390313e-05
P( u | o ) =  8.90313390313e-05
P( v | o ) =  8.90313390313e-05
P( w | o ) =  8.90313390313e-05
P( x | o ) =  8.90313390313e-05
P( y | o ) =  8.90313390313e-05
P( z | o ) =  8.90313390313e-05
P( _ | o ) =  8.90313390313e-05
P( a | p ) =  0.000325732899023
P( b | p ) =  0.000325732899023
P( c | p ) =  0.000325732899023
P( d | p ) =  0.000325732899023
P( e | p ) =  0.000325732899023
P( f | p ) =  0.000325732899023
P( g | p ) =  0.000325732899023
P( h | p ) =  0.000325732899023
P( i | p ) =  0.000325732899023
P( j | p ) =  0.000325732899023
P( k | p ) =  0.000325732899023
P( l | p ) =  0.100651465798
P( m | p ) =  0.000325732899023
P( n | p ) =  0.000325732899023
P( o | p ) =  0.0986970684039
P( p | p ) =  0.792833876221
P( q | p ) =  0.000325732899023
P( r | p ) =  0.000325732899023
P( s | p ) =  0.000325732899023
P( t | p ) =  0.000325732899023
P( u | p ) =  0.000325732899023
P( v | p ) =  0.000325732899023
P( w | p ) =  0.000325732899023
P( x | p ) =  0.000325732899023
P( y | p ) =  0.000325732899023
P( z | p ) =  0.000325732899023
P( _ | p ) =  0.000325732899023
P( a | q ) =  0.0823529411765
P( b | q ) =  0.00588235294118
P( c | q ) =  0.00588235294118
P( d | q ) =  0.00588235294118
P( e | q ) =  0.00588235294118
P( f | q ) =  0.00588235294118
P( g | q ) =  0.00588235294118
P( h | q ) =  0.00588235294118
P( i | q ) =  0.00588235294118
P( j | q ) =  0.00588235294118
P( k | q ) =  0.00588235294118
P( l | q ) =  0.00588235294118
P( m | q ) =  0.00588235294118
P( n | q ) =  0.00588235294118
P( o | q ) =  0.00588235294118
P( p | q ) =  0.00588235294118
P( q | q ) =  0.676470588235
P( r | q ) =  0.00588235294118
P( s | q ) =  0.00588235294118
P( t | q ) =  0.00588235294118
P( u | q ) =  0.00588235294118
P( v | q ) =  0.00588235294118
P( w | q ) =  0.1
P( x | q ) =  0.00588235294118
P( y | q ) =  0.00588235294118
P( z | q ) =  0.00588235294118
P( _ | q ) =  0.00588235294118
P( a | r ) =  0.000128915817971
P( b | r ) =  0.000128915817971
P( c | r ) =  0.000128915817971
P( d | r ) =  0.0524687379141
P( e | r ) =  0.0501482531907
P( f | r ) =  0.0491169266469
P( g | r ) =  0.000128915817971
P( h | r ) =  0.000128915817971
P( i | r ) =  0.000128915817971
P( j | r ) =  0.000128915817971
P( k | r ) =  0.000128915817971
P( l | r ) =  0.000128915817971
P( m | r ) =  0.000128915817971
P( n | r ) =  0.000128915817971
P( o | r ) =  0.000128915817971
P( p | r ) =  0.000128915817971
P( q | r ) =  0.000128915817971
P( r | r ) =  0.791027459069
P( s | r ) =  0.000128915817971
P( t | r ) =  0.0544024751837
P( u | r ) =  0.000128915817971
P( v | r ) =  0.000128915817971
P( w | r ) =  0.000128915817971
P( x | r ) =  0.000128915817971
P( y | r ) =  0.000128915817971
P( z | r ) =  0.000128915817971
P( _ | r ) =  0.000128915817971
P( a | s ) =  0.0426420485768
P( b | s ) =  0.000109902187054
P( c | s ) =  0.000109902187054
P( d | s ) =  0.0402242004616
P( e | s ) =  0.000109902187054
P( f | s ) =  0.000109902187054
P( g | s ) =  0.000109902187054
P( h | s ) =  0.000109902187054
P( i | s ) =  0.000109902187054
P( j | s ) =  0.000109902187054
P( k | s ) =  0.000109902187054
P( l | s ) =  0.000109902187054
P( m | s ) =  0.000109902187054
P( n | s ) =  0.000109902187054
P( o | s ) =  0.000109902187054
P( p | s ) =  0.000109902187054
P( q | s ) =  0.000109902187054
P( r | s ) =  0.000109902187054
P( s | s ) =  0.796131443016
P( t | s ) =  0.000109902187054
P( u | s ) =  0.000109902187054
P( v | s ) =  0.000109902187054
P( w | s ) =  0.0384657654687
P( x | s ) =  0.0423123420156
P( y | s ) =  0.000109902187054
P( z | s ) =  0.0379162545335
P( _ | s ) =  0.000109902187054
P( a | t ) =  7.71604938272e-05
P( b | t ) =  7.71604938272e-05
P( c | t ) =  7.71604938272e-05
P( d | t ) =  7.71604938272e-05
P( e | t ) =  7.71604938272e-05
P( f | t ) =  0.0496141975309
P( g | t ) =  0.049537037037
P( h | t ) =  7.71604938272e-05
P( i | t ) =  7.71604938272e-05
P( j | t ) =  7.71604938272e-05
P( k | t ) =  7.71604938272e-05
P( l | t ) =  7.71604938272e-05
P( m | t ) =  7.71604938272e-05
P( n | t ) =  7.71604938272e-05
P( o | t ) =  7.71604938272e-05
P( p | t ) =  7.71604938272e-05
P( q | t ) =  7.71604938272e-05
P( r | t ) =  0.0510030864198
P( s | t ) =  7.71604938272e-05
P( t | t ) =  0.800925925926
P( u | t ) =  7.71604938272e-05
P( v | t ) =  7.71604938272e-05
P( w | t ) =  7.71604938272e-05
P( x | t ) =  7.71604938272e-05
P( y | t ) =  0.0472222222222
P( z | t ) =  7.71604938272e-05
P( _ | t ) =  7.71604938272e-05
P( a | u ) =  0.000267379679144
P( b | u ) =  0.000267379679144
P( c | u ) =  0.000267379679144
P( d | u ) =  0.000267379679144
P( e | u ) =  0.000267379679144
P( f | u ) =  0.000267379679144
P( g | u ) =  0.000267379679144
P( h | u ) =  0.0505347593583
P( i | u ) =  0.051871657754
P( j | u ) =  0.0441176470588
P( k | u ) =  0.000267379679144
P( l | u ) =  0.000267379679144
P( m | u ) =  0.000267379679144
P( n | u ) =  0.000267379679144
P( o | u ) =  0.000267379679144
P( p | u ) =  0.000267379679144
P( q | u ) =  0.000267379679144
P( r | u ) =  0.000267379679144
P( s | u ) =  0.000267379679144
P( t | u ) =  0.000267379679144
P( u | u ) =  0.800267379679
P( v | u ) =  0.000267379679144
P( w | u ) =  0.000267379679144
P( x | u ) =  0.000267379679144
P( y | u ) =  0.0473262032086
P( z | u ) =  0.000267379679144
P( _ | u ) =  0.000267379679144
P( a | v ) =  0.000549752611325
P( b | v ) =  0.0417811984607
P( c | v ) =  0.04562946674
P( d | v ) =  0.000549752611325
P( e | v ) =  0.000549752611325
P( f | v ) =  0.0533260032985
P( g | v ) =  0.0599230346344
P( h | v ) =  0.000549752611325
P( i | v ) =  0.000549752611325
P( j | v ) =  0.000549752611325
P( k | v ) =  0.000549752611325
P( l | v ) =  0.000549752611325
P( m | v ) =  0.000549752611325
P( n | v ) =  0.000549752611325
P( o | v ) =  0.000549752611325
P( p | v ) =  0.000549752611325
P( q | v ) =  0.000549752611325
P( r | v ) =  0.000549752611325
P( s | v ) =  0.000549752611325
P( t | v ) =  0.000549752611325
P( u | v ) =  0.000549752611325
P( v | v ) =  0.787245739417
P( w | v ) =  0.000549752611325
P( x | v ) =  0.000549752611325
P( y | v ) =  0.000549752611325
P( z | v ) =  0.000549752611325
P( _ | v ) =  0.000549752611325
P( a | w ) =  0.0460370194589
P( b | w ) =  0.00047460844803
P( c | w ) =  0.00047460844803
P( d | w ) =  0.00047460844803
P( e | w ) =  0.0436639772188
P( f | w ) =  0.00047460844803
P( g | w ) =  0.00047460844803
P( h | w ) =  0.00047460844803
P( i | w ) =  0.00047460844803
P( j | w ) =  0.00047460844803
P( k | w ) =  0.00047460844803
P( l | w ) =  0.00047460844803
P( m | w ) =  0.00047460844803
P( n | w ) =  0.00047460844803
P( o | w ) =  0.00047460844803
P( p | w ) =  0.00047460844803
P( q | w ) =  0.0512577123873
P( r | w ) =  0.00047460844803
P( s | w ) =  0.0522069292833
P( t | w ) =  0.00047460844803
P( u | w ) =  0.00047460844803
P( v | w ) =  0.00047460844803
P( w | w ) =  0.796392975795
P( x | w ) =  0.00047460844803
P( y | w ) =  0.00047460844803
P( z | w ) =  0.00047460844803
P( _ | w ) =  0.00047460844803
P( a | x ) =  0.00348432055749
P( b | x ) =  0.00348432055749
P( c | x ) =  0.0383275261324
P( d | x ) =  0.0627177700348
P( e | x ) =  0.00348432055749
P( f | x ) =  0.00348432055749
P( g | x ) =  0.00348432055749
P( h | x ) =  0.00348432055749
P( i | x ) =  0.00348432055749
P( j | x ) =  0.00348432055749
P( k | x ) =  0.00348432055749
P( l | x ) =  0.00348432055749
P( m | x ) =  0.00348432055749
P( n | x ) =  0.00348432055749
P( o | x ) =  0.00348432055749
P( p | x ) =  0.00348432055749
P( q | x ) =  0.00348432055749
P( r | x ) =  0.00348432055749
P( s | x ) =  0.0592334494774
P( t | x ) =  0.00348432055749
P( u | x ) =  0.00348432055749
P( v | x ) =  0.00348432055749
P( w | x ) =  0.00348432055749
P( x | x ) =  0.717770034843
P( y | x ) =  0.00348432055749
P( z | x ) =  0.0452961672474
P( _ | x ) =  0.00348432055749
P( a | y ) =  0.00035739814153
P( b | y ) =  0.00035739814153
P( c | y ) =  0.00035739814153
P( d | y ) =  0.00035739814153
P( e | y ) =  0.00035739814153
P( f | y ) =  0.00035739814153
P( g | y ) =  0.0507505360972
P( h | y ) =  0.0507505360972
P( i | y ) =  0.00035739814153
P( j | y ) =  0.00035739814153
P( k | y ) =  0.00035739814153
P( l | y ) =  0.00035739814153
P( m | y ) =  0.00035739814153
P( n | y ) =  0.00035739814153
P( o | y ) =  0.00035739814153
P( p | y ) =  0.00035739814153
P( q | y ) =  0.00035739814153
P( r | y ) =  0.00035739814153
P( s | y ) =  0.00035739814153
P( t | y ) =  0.0475339528234
P( u | y ) =  0.0421729807005
P( v | y ) =  0.00035739814153
P( w | y ) =  0.00035739814153
P( x | y ) =  0.00035739814153
P( y | y ) =  0.800929235168
P( z | y ) =  0.00035739814153
P( _ | y ) =  0.00035739814153
P( a | z ) =  0.0416666666667
P( b | z ) =  0.00694444444444
P( c | z ) =  0.00694444444444
P( d | z ) =  0.00694444444444
P( e | z ) =  0.00694444444444
P( f | z ) =  0.00694444444444
P( g | z ) =  0.00694444444444
P( h | z ) =  0.00694444444444
P( i | z ) =  0.00694444444444
P( j | z ) =  0.00694444444444
P( k | z ) =  0.00694444444444
P( l | z ) =  0.00694444444444
P( m | z ) =  0.00694444444444
P( n | z ) =  0.00694444444444
P( o | z ) =  0.00694444444444
P( p | z ) =  0.00694444444444
P( q | z ) =  0.00694444444444
P( r | z ) =  0.00694444444444
P( s | z ) =  0.0833333333333
P( t | z ) =  0.00694444444444
P( u | z ) =  0.00694444444444
P( v | z ) =  0.00694444444444
P( w | z ) =  0.00694444444444
P( x | z ) =  0.0625
P( y | z ) =  0.00694444444444
P( z | z ) =  0.652777777778
P( _ | z ) =  0.00694444444444
P( a | _ ) =  3.67511944138e-05
P( b | _ ) =  3.67511944138e-05
P( c | _ ) =  3.67511944138e-05
P( d | _ ) =  3.67511944138e-05
P( e | _ ) =  3.67511944138e-05
P( f | _ ) =  3.67511944138e-05
P( g | _ ) =  3.67511944138e-05
P( h | _ ) =  3.67511944138e-05
P( i | _ ) =  3.67511944138e-05
P( j | _ ) =  3.67511944138e-05
P( k | _ ) =  3.67511944138e-05
P( l | _ ) =  3.67511944138e-05
P( m | _ ) =  3.67511944138e-05
P( n | _ ) =  3.67511944138e-05
P( o | _ ) =  3.67511944138e-05
P( p | _ ) =  3.67511944138e-05
P( q | _ ) =  3.67511944138e-05
P( r | _ ) =  3.67511944138e-05
P( s | _ ) =  3.67511944138e-05
P( t | _ ) =  3.67511944138e-05
P( u | _ ) =  3.67511944138e-05
P( v | _ ) =  3.67511944138e-05
P( w | _ ) =  3.67511944138e-05
P( x | _ ) =  3.67511944138e-05
P( y | _ ) =  3.67511944138e-05
P( z | _ ) =  3.67511944138e-05
P( _ | _ ) =  0.999044468945
------------End------------



------------Transition------------

------------P(Xt+1 | Xt)------------

P( a | a ) =  0.000100938730191
P( b | a ) =  0.0225093368325
P( c | a ) =  0.0390632885838
P( d | a ) =  0.0283637831836
P( e | a ) =  0.000201877460382
P( f | a ) =  0.00423942666801
P( g | a ) =  0.0201877460382
P( h | a ) =  0.000504693650954
P( i | a ) =  0.0273543958817
P( j | a ) =  0.00232159079439
P( k | a ) =  0.0192792974664
P( l | a ) =  0.135863530837
P( m | a ) =  0.0193802361966
P( n | a ) =  0.194307055617
P( o | a ) =  0.000403754920763
P( p | a ) =  0.0181689714343
P( q | a ) =  0.000302816190572
P( r | a ) =  0.0901382860604
P( s | a ) =  0.0647017260523
P( t | a ) =  0.166750782275
P( u | a ) =  0.0161501968305
P( v | a ) =  0.0331079035026
P( w | a ) =  0.00282628444534
P( x | a ) =  0.000504693650954
P( y | a ) =  0.0249318663571
P( z | a ) =  0.000706571111335
P( _ | a ) =  0.0676289492278
P( a | b ) =  0.0379939209726
P( b | b ) =  0.00253292806484
P( c | b ) =  0.00101317122594
P( d | b ) =  0.000506585612969
P( e | b ) =  0.40780141844
P( f | b ) =  0.00101317122594
P( g | b ) =  0.000506585612969
P( h | b ) =  0.000506585612969
P( i | b ) =  0.0369807497467
P( j | b ) =  0.0081053698075
P( k | b ) =  0.000506585612969
P( l | b ) =  0.145896656535
P( m | b ) =  0.00101317122594
P( n | b ) =  0.00202634245187
P( o | b ) =  0.0618034447822
P( p | b ) =  0.000506585612969
P( q | b ) =  0.000506585612969
P( r | b ) =  0.0359675785208
P( s | b ) =  0.0081053698075
P( t | b ) =  0.00861195542047
P( u | b ) =  0.126646403242
P( v | b ) =  0.00405268490375
P( w | b ) =  0.000506585612969
P( x | b ) =  0.000506585612969
P( y | b ) =  0.096251266464
P( z | b ) =  0.000506585612969
P( _ | b ) =  0.0096251266464
P( a | c ) =  0.159982371089
P( b | c ) =  0.000220361392684
P( c | c ) =  0.0154252974879
P( d | c ) =  0.000220361392684
P( e | c ) =  0.141912736888
P( f | c ) =  0.000220361392684
P( g | c ) =  0.000220361392684
P( h | c ) =  0.162847069193
P( i | c ) =  0.136844424857
P( j | c ) =  0.000220361392684
P( k | c ) =  0.0114587924196
P( l | c ) =  0.0207139709123
P( m | c ) =  0.000220361392684
P( n | c ) =  0.000220361392684
P( o | c ) =  0.145879241957
P( p | c ) =  0.000220361392684
P( q | c ) =  0.00264433671221
P( r | c ) =  0.034156015866
P( s | c ) =  0.00286469810489
P( t | c ) =  0.0949757602468
P( u | c ) =  0.0284266196562
P( v | c ) =  0.000220361392684
